"seed","domain","method","source_model","horizon","history_length","epochs","batch_size","learning_rate","mse","mae","rmse","mape","trend_f1","train_time_sec","torch_device","best_val_scaled_mse"
"2027","Health_US","mmts_timemixer","TimeMixer","3","24","3","64","0.001","1.0308274476096078","0.6909406842914879","1.015296728848078","0.2751762085871701","0.5595744680851064","0.7087831497192383","cpu","0.8335076570510864"
"2027","Health_US","mmts_timemixer","TimeMixer","6","24","3","64","0.001","3.033650881931821","1.2099444311984042","1.7417378912832495","0.48890258940347264","0.5012765957446809","0.7135858535766602","cpu","2.7811203002929688"
"2027","Health_AFR","mmts_timemixer","TimeMixer","3","24","3","64","0.001","0.0018715366465743032","0.030379699110152557","0.04326126034426532","0.9259430749537664","0.5276595744680851","0.3191845417022705","cpu","0.13296698033809662"
"2027","Health_AFR","mmts_timemixer","TimeMixer","6","24","3","64","0.001","0.004049537769037608","0.046749014788181754","0.06363597857374087","1.75238126730198","0.5046808510638298","0.3166050910949707","cpu","0.189107283949852"
"2028","Energy","mmts_timemixer","TimeMixer","3","24","3","64","0.001","0.06074733325969986","0.18097779886096926","0.24646974106307626","0.054896968741861604","0.4553191489361702","0.6694140434265137","cpu","0.03577078878879547"
"2028","Energy","mmts_timemixer","TimeMixer","6","24","3","64","0.001","0.08553646132886512","0.21427314222281707","0.2924661712555234","0.06574553044889969","0.4927659574468085","0.6516127586364746","cpu","0.05068780481815338"
"2028","Health_US","mmts_timemixer","TimeMixer","3","24","3","64","0.001","1.3585216198656793","0.7822170929705843","1.1655563563662117","0.3111082212236356","0.46808510638297873","0.7272491455078125","cpu","1.1798663139343262"
"2028","Health_US","mmts_timemixer","TimeMixer","6","24","3","64","0.001","1.9515339863207848","1.0043065955875614","1.396973151610576","0.4354771994721677","0.5097872340425532","0.6892402172088623","cpu","1.7403814792633057"
"2028","Health_AFR","mmts_timemixer","TimeMixer","3","24","3","64","0.001","0.0023657704078654156","0.03480261667063526","0.048639185929304114","1.157837131378401","0.44468085106382976","0.32198572158813477","cpu","0.16400016844272614"
"2028","Health_AFR","mmts_timemixer","TimeMixer","6","24","3","64","0.001","0.0031811200352304357","0.040806674106865594","0.056401418734198835","1.4030371275868598","0.5004255319148936","0.3020761013031006","cpu","0.1748586744070053"
