seed,domain,method,source_model,horizon,history_length,epochs,batch_size,learning_rate,mse,mae,rmse,mape,trend_f1,nmse,smape,relative_improvement_over_persistence,n_features,train_time_sec,torch_device,best_val_scaled_mse,rank_mse_in_domain_horizon
2027,Energy,strong_numerical_only,PatchTST,6,24,3,64,0.001,0.06862043863755443,0.18743582575033743,0.2619550317087924,0.05772008917158957,0.5089361702127659,0.13344046972460286,0.05768846720457077,-0.6689020240807335,9.0,0.3825833797454834,cpu,0.04625481739640236,10.0
2027,Energy,strong_raw_text_fusion,TimesNet,6,24,3,64,0.001,0.07770902399871894,0.19868650656219916,0.2787633835329148,0.06147334585361783,0.49531914893617024,0.1511142870858083,0.06132816895842552,-0.8899434339935068,25.0,0.6475346088409424,cpu,0.049921922385692596,18.0
2027,Energy,strong_raw_text_fusion,PatchTST,6,24,3,64,0.001,0.06850003295429093,0.18769433456109771,0.26172510952197714,0.05774199539486018,0.505531914893617,0.13320632678918592,0.05775359645485878,-0.6659736649431497,25.0,0.6432094573974609,cpu,0.046363264322280884,6.0
2027,Energy,strong_event_no_verifier,TimesNet,6,24,3,64,0.001,0.07345492856116145,0.1902962065757589,0.27102569723397346,0.059023272753157274,0.5046808510638298,0.14284170088974324,0.05854709818959236,-0.7864805499412498,14.0,0.64375901222229,cpu,0.04246198385953903,17.0
2027,Energy,strong_event_no_verifier,PatchTST,6,24,3,64,0.001,0.06856164654826816,0.1877958099892799,0.2618427897580305,0.05781984376207532,0.5046808510638298,0.13332614162985124,0.05781912803649902,-0.6674721550977029,14.0,0.5083827972412109,cpu,0.04624024033546448,8.0
2027,Energy,strong_event_with_verifier,TimesNet,6,24,3,64,0.001,0.06896086040761792,0.18134390056556,0.26260399922243743,0.05640442563540698,0.5106382978723404,0.13410245967692141,0.05591990053653717,-0.6771813442421931,14.0,0.68357253074646,cpu,0.0407695397734642,12.0
2027,Energy,strong_event_with_verifier,PatchTST,6,24,3,64,0.001,0.06856164654826816,0.1877958099892799,0.2618427897580305,0.05781984376207532,0.5046808510638298,0.13332614162985124,0.05781912803649902,-0.6674721550977029,14.0,0.4840354919433594,cpu,0.04624024033546448,8.0
2027,Health_US,strong_numerical_only,TimesNet,3,24,3,64,0.001,0.9098814716070593,0.6241653489728346,0.9538770736353083,0.26030918292330185,0.5255319148936171,0.3504672455706821,0.23534265160560608,-0.6379848608076509,10.0,0.6102595329284668,cpu,0.582206666469574,2.0
2027,Health_US,strong_numerical_only,PatchTST,3,24,3,64,0.001,1.0385504029582977,0.682320181359636,1.0190929314632193,0.27892156253391226,0.48936170212765956,0.40002781732465453,0.26175516843795776,-0.8696169669515212,10.0,0.40537476539611816,cpu,0.9095622897148132,11.0
2027,Health_US,strong_raw_text_fusion,TimesNet,3,24,3,64,0.001,1.225008816101169,0.7531110104939617,1.1068011637603066,0.32711322285045463,0.4978723404255319,0.4718476845346589,0.28183794021606445,-1.2052827293928716,26.0,0.6491823196411133,cpu,0.8772343993186951,22.0
